country,serogroup,Vac.age,Waning,Age dep.,Impact
Brazil,PPV23,55,Fast waning,FALSE,"9.5% (9.5%, 9.5%)"
Brazil,PPV23,60,Fast waning,FALSE,"10.7% (10.7%, 10.7%)"
Brazil,PPV23,65,Fast waning,FALSE,"12.2% (12.2%, 12.2%)"
Brazil,PPV23,70,Fast waning,FALSE,"13.8% (13.8%, 13.8%)"
Brazil,PPV23,75,Fast waning,FALSE,"15.7% (15.7%, 15.7%)"
Brazil,PPV23,80,Fast waning,FALSE,"17.9% (17.9%, 17.9%)"
Brazil,PPV23,85,Fast waning,FALSE,"20.3% (20.3%, 20.3%)"
England,PPV23,55,Fast waning,FALSE,"4.9% (4.9%, 4.9%)"
England,PPV23,60,Fast waning,FALSE,"6.6% (6.6%, 6.6%)"
England,PPV23,65,Fast waning,FALSE,"9.0% (9.0%, 9.0%)"
England,PPV23,70,Fast waning,FALSE,"12.0% (12.0%, 12.0%)"
England,PPV23,75,Fast waning,FALSE,"16.2% (16.2%, 16.2%)"
England,PPV23,80,Fast waning,FALSE,"21.8% (21.8%, 21.8%)"
England,PPV23,85,Fast waning,FALSE,"29.4% (29.4%, 29.4%)"
Malawi,PPV23,55,Fast waning,FALSE,"10.8% (10.8%, 10.8%)"
Malawi,PPV23,60,Fast waning,FALSE,"11.9% (11.9%, 11.9%)"
Malawi,PPV23,65,Fast waning,FALSE,"13.0% (13.0%, 13.0%)"
Malawi,PPV23,70,Fast waning,FALSE,"14.1% (14.1%, 14.1%)"
Malawi,PPV23,75,Fast waning,FALSE,"15.4% (15.4%, 15.4%)"
Malawi,PPV23,80,Fast waning,FALSE,"16.7% (16.7%, 16.7%)"
Malawi,PPV23,85,Fast waning,FALSE,"18.2% (18.2%, 18.2%)"
South Africa,PPV23,55,Fast waning,FALSE,"7.6% (7.6%, 7.6%)"
South Africa,PPV23,60,Fast waning,FALSE,"9.2% (9.2%, 9.2%)"
South Africa,PPV23,65,Fast waning,FALSE,"11.1% (11.1%, 11.1%)"
South Africa,PPV23,70,Fast waning,FALSE,"13.3% (13.3%, 13.3%)"
South Africa,PPV23,75,Fast waning,FALSE,"16.1% (16.1%, 16.1%)"
South Africa,PPV23,80,Fast waning,FALSE,"19.4% (19.4%, 19.4%)"
South Africa,PPV23,85,Fast waning,FALSE,"23.4% (23.4%, 23.4%)"
